,grid_idx,center,pop2020,pop2021,pop2022,od2020,od2021,od2022
12572,10691,POINT (945385.230213883 1950315.54807064),72763.28834456812,71645.06027509784,70418.80801433208,1510229.8137481885,1117225.0021948055,1325965.9889313069
12573,10692,POINT (945385.230213883 1950415.54807064),70787.93472533161,69702.8163530113,68521.41176770629,1391319.3347224728,1032222.8926537537,1227215.6322489092
12574,10693,POINT (945385.230213883 1950515.54807064),68737.21403386381,67686.97294153094,66550.02872697519,1346929.3489728721,999040.633217682,1187442.9161455366
12575,10694,POINT (945385.230213883 1950615.54807064),68765.77536286296,67705.05719943029,66573.1096763935,1301772.4634374282,965255.5843539867,1146939.3397410465
12576,10695,POINT (945385.230213883 1950715.54807064),68431.9921470171,67356.92823289805,66243.28242446434,1256573.0769852735,931417.949827284,1106349.5013906974
12582,10696,POINT (945485.230213883 1946615.54807064),108575.60999113884,106978.79533852366,105776.81911052295,3073762.9956153124,2180038.379474868,2501197.8664216963
12583,10697,POINT (945485.230213883 1946715.54807064),108516.65530893557,106967.07178340491,105808.28892995096,2967563.6040161755,2116482.38158955,2429831.122088967
12584,10698,POINT (945485.230213883 1946815.54807064),105765.28144306886,104428.12013612819,103436.89330184335,2972952.230460637,2125460.089794406,2440331.690601804
12585,10699,POINT (945485.230213883 1946915.54807064),105168.72100871116,103870.24363462227,102928.51800906623,2976483.303188456,2132634.780166758,2448764.490166855
12586,10700,POINT (945485.230213883 1947015.54807064),107344.5817532503,106016.0292154237,105067.46028669794,3025302.4356078072,2173840.565693008,2496958.953998713
12587,10701,POINT (945485.230213883 1947115.54807064),109187.51686659403,107825.37772666688,106853.27881341998,3024617.931639446,2177245.9004411562,2501224.232586764
12588,10702,POINT (945485.230213883 1947215.54807064),108014.02092933418,106666.5516930739,105784.33627331434,3016494.744597424,2174895.6648003208,2498983.6114875227
12589,10703,POINT (945485.230213883 1947315.54807064),108438.33163561912,106935.35060092407,106029.5860937039,2998759.484824907,2165273.161346268,2488527.4081579456
12590,10704,POINT (945485.230213883 1947415.54807064),109202.69051595045,107709.34280451748,106768.06944709302,2969751.7869590484,2147232.002327035,2468564.9401787585
12591,10705,POINT (945485.230213883 1947515.54807064),109798.37443642803,108316.57207860838,107327.91651693906,2928751.9121773704,2120295.17369949,2438564.0368163087
12592,10706,POINT (945485.230213883 1947615.54807064),108002.29700547489,106618.93307495551,105626.8575727896,2876199.924918796,2084808.3175252422,2398924.840706494
12596,10707,POINT (945485.230213883 1949915.54807064),80010.89604736671,78805.85624218817,77472.75256008483,1814946.7047222685,1341038.3218517266,1586878.1342852614
12597,10708,POINT (945485.230213883 1950015.54807064),77929.58446219238,76750.7343261394,75457.18037021853,1768301.6842395011,1306815.3660629466,1546590.9112476143
12598,10709,POINT (945485.230213883 1950115.54807064),75878.07016496648,74726.97174049461,73472.70831717023,1717995.2270690657,1269756.1081618404,1502924.0576372903
12599,10710,POINT (945485.230213883 1950215.54807064),72796.7687065014,71690.33480390569,70498.59964587058,1614231.9784193558,1194067.0491252083,1415569.7138092509
12600,10711,POINT (945485.230213883 1950315.54807064),69952.65280767484,68900.04987003667,67704.4147884001,1493756.002011162,1101549.5180181728,1309367.3357708794
12601,10712,POINT (945485.230213883 1950415.54807064),70128.15337552436,69059.25818561805,67866.96814088366,1379250.4250606848,1019820.42894416,1214341.1148437806
